                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.0868,                 1.5619,                0.84491,                 1.0276,                0.55523,                0.68889,                0.61541,                0.39183,                0.53732,                0.66667,                0.59322,                0.27434,                 1.4123,                 3.8567,                 3.1368,                 1.1912,              0.0010076,              0.0010076,              0.0010076
                     98,                 1.1839,                 1.2527,                0.80114,                 1.0591,                0.55523,                0.68889,                0.61541,                0.39183,                0.53732,                0.66667,                0.59322,                0.27434,                 1.4123,                 3.8567,                 3.1368,                 1.1912,              0.0010085,              0.0010085,              0.0010085
                     99,                 1.0429,                 1.5507,                0.82326,                 1.0352,                0.55523,                0.68889,                0.61541,                0.39183,                0.53732,                0.66667,                0.59322,                0.27434,                 1.4123,                 3.8567,                 3.1368,                 1.1912,              0.0010092,              0.0010092,              0.0010092
                    100,                 1.2688,                 1.7083,                0.90701,                 1.1405,                0.74554,                0.76667,                0.73958,                0.46433,                0.73291,                0.73333,                0.70518,                0.33149,                  1.364,                  3.339,                 1.8844,                 1.1964,              0.0010097,              0.0010097,              0.0010097
                    101,                 1.1447,                 1.0696,                0.92677,                 1.0626,                0.74554,                0.76667,                0.73958,                0.46433,                0.73291,                0.73333,                0.70518,                0.33149,                  1.364,                  3.339,                 1.8844,                 1.1964,                0.00101,                0.00101,                0.00101
                    102,                 1.1347,                 1.1781,                0.87331,                 1.0961,                0.74554,                0.76667,                0.73958,                0.46433,                0.73291,                0.73333,                0.70518,                0.33149,                  1.364,                  3.339,                 1.8844,                 1.1964,                0.00101,                0.00101,                0.00101
                    103,                 1.2299,                  1.303,                 1.0565,                 1.2389,                0.74554,                0.76667,                0.73958,                0.46433,                0.73291,                0.73333,                0.70518,                0.33149,                  1.364,                  3.339,                 1.8844,                 1.1964,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.1194,                 1.0661,                0.84503,                 1.1158,                0.76432,                0.77778,                0.77386,                 0.4661,                0.75024,                0.73333,                0.73706,                 0.3318,                 1.3793,                 3.6307,                 1.4064,                 1.1732,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.2286,                 1.1082,                0.92749,                 1.1775,                0.76432,                0.77778,                0.77386,                 0.4661,                0.75024,                0.73333,                0.73706,                 0.3318,                 1.3793,                 3.6307,                 1.4064,                 1.1732,              0.0009803,              0.0009803,              0.0009803
                    106,                0.97604,                 1.2693,                0.77282,                0.93986,                0.76432,                0.77778,                0.77386,                 0.4661,                0.75024,                0.73333,                0.73706,                 0.3318,                 1.3793,                 3.6307,                 1.4064,                 1.1732,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.0609,                   1.33,                0.89127,                0.98683,                0.76432,                0.77778,                0.77386,                 0.4661,                0.75024,                0.73333,                0.73706,                 0.3318,                 1.3793,                 3.6307,                 1.4064,                 1.1732,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.0201,                 1.2032,                0.85879,                0.99269,                0.72135,                0.77664,                0.77476,                0.48742,                0.74157,                0.72222,                0.75529,                0.38503,                 1.3494,                 3.9314,                 1.3659,                 1.1612,              0.0009506,              0.0009506,              0.0009506
