                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.91497,                 1.2236,                 1.0186,                0.95467,                0.45048,                0.82222,                0.42129,                0.26898,                0.43223,                 0.7782,                0.39218,                0.20231,                 1.2802,                 2.9715,                 4.7067,                 1.0742,             0.00040763,             0.00040763,             0.00040763
                     25,                0.77827,                 1.3508,                0.93986,                 0.8723,                0.47365,                 0.8499,                0.45312,                0.28054,                  0.461,                0.83629,                0.42071,                0.21665,                 1.3448,                 2.9332,                 4.3598,                 1.1036,             0.00042298,             0.00042298,             0.00042298
                     26,                0.83642,                 1.1741,                0.82776,                0.88625,                0.47365,                 0.8499,                0.45312,                0.28054,                  0.461,                0.83629,                0.42071,                0.21665,                 1.3448,                 2.9332,                 4.3598,                 1.1036,             0.00043812,             0.00043812,             0.00043812
                     27,                0.91681,                 1.1392,                0.84699,                0.93692,                0.51954,                0.81111,                0.48378,                0.29332,                0.49773,                0.77778,                0.43672,                0.22389,                 1.3758,                  3.075,                 3.5299,                 1.1167,             0.00045308,             0.00045308,             0.00045308
                     28,                0.93395,                 1.1699,                 0.9662,                0.93768,                0.51954,                0.81111,                0.48378,                0.29332,                0.49773,                0.77778,                0.43672,                0.22389,                 1.3758,                  3.075,                 3.5299,                 1.1167,             0.00046783,             0.00046783,             0.00046783
                     29,                 0.7422,                 1.0108,                0.82039,                0.92744,                0.41013,                0.78889,                 0.3845,                0.22883,                0.38702,                0.74444,                0.33777,                0.17762,                 1.4103,                 3.1568,                 4.1413,                 1.1325,             0.00048238,             0.00048238,             0.00048238
                     30,                0.99222,                  1.603,                 1.4842,                0.90211,                0.41013,                0.78889,                 0.3845,                0.22883,                0.38702,                0.74444,                0.33777,                0.17762,                 1.4103,                 3.1568,                 4.1413,                 1.1325,             0.00049674,             0.00049674,             0.00049674
                     31,                0.80924,                 1.4083,                 1.0947,                0.92381,                0.39995,                0.73317,                0.35638,                0.20981,                0.36211,                    0.7,                0.31589,                0.15812,                 1.4373,                 3.1691,                 5.0029,                 1.1918,              0.0005109,              0.0005109,              0.0005109
                     32,                0.85755,                 1.2401,                0.77076,                0.87712,                0.39995,                0.73317,                0.35638,                0.20981,                0.36211,                    0.7,                0.31589,                0.15812,                 1.4373,                 3.1691,                 5.0029,                 1.1918,             0.00052486,             0.00052486,             0.00052486
                     33,                0.85874,                  1.412,                0.88054,                0.90075,                0.35026,                0.72222,                0.32587,                0.19945,                0.38398,                0.56667,                0.30803,                0.15656,                 1.4347,                 2.9538,                 4.0895,                 1.1724,             0.00053862,             0.00053862,             0.00053862
                     34,                 1.1345,                 1.1956,                 1.2159,                 1.0121,                0.35026,                0.72222,                0.32587,                0.19945,                0.38398,                0.56667,                0.30803,                0.15656,                 1.4347,                 2.9538,                 4.0895,                 1.1724,             0.00055219,             0.00055219,             0.00055219
                     35,                 1.0624,                 1.2589,                 1.2453,                0.94713,                0.37137,                0.57778,                0.29968,                0.18727,                0.37137,                0.57778,                0.29791,                0.15968,                 1.4761,                 3.0152,                 2.9265,                 1.1555,             0.00056556,             0.00056556,             0.00056556
                     36,                 1.0469,                 1.1698,                0.83716,                 0.9059,                0.37137,                0.57778,                0.29968,                0.18727,                0.37137,                0.57778,                0.29791,                0.15968,                 1.4761,                 3.0152,                 2.9265,                 1.1555,             0.00057872,             0.00057872,             0.00057872
                     37,                 1.0051,                  1.187,                0.95287,                0.89763,                0.74113,                0.57264,                0.62973,                0.37454,                0.73444,                    0.6,                0.64737,                0.30661,                 1.4901,                 3.3998,                 1.2266,                 1.1645,              0.0005917,              0.0005917,              0.0005917
                     38,                0.99518,                 1.0399,                0.92479,                0.92652,                0.74113,                0.57264,                0.62973,                0.37454,                0.73444,                    0.6,                0.64737,                0.30661,                 1.4901,                 3.3998,                 1.2266,                 1.1645,             0.00060447,             0.00060447,             0.00060447
                     39,                 0.9587,                 1.1968,                0.89137,                0.86776,                0.62394,                0.64444,                0.65182,                0.36573,                0.72235,                 0.6071,                0.65561,                 0.2782,                 1.5409,                 3.9467,                 1.2419,                 1.2211,             0.00061704,             0.00061704,             0.00061704
                     40,                0.84892,                 1.4269,                0.83798,                0.87052,                0.62394,                0.64444,                0.65182,                0.36573,                0.72235,                 0.6071,                0.65561,                 0.2782,                 1.5409,                 3.9467,                 1.2419,                 1.2211,             0.00062942,             0.00062942,             0.00062942
                     41,                0.90038,                 1.2584,                0.90062,                0.92249,                0.71818,                0.55556,                0.66493,                0.37056,                0.70997,                  0.544,                0.62735,                0.28949,                  1.674,                 4.5239,                 1.2794,                 1.2376,              0.0006416,              0.0006416,              0.0006416
                     42,                0.93046,                  1.573,                0.90267,                0.92526,                0.71818,                0.55556,                0.66493,                0.37056,                0.70997,                  0.544,                0.62735,                0.28949,                  1.674,                 4.5239,                 1.2794,                 1.2376,             0.00065358,             0.00065358,             0.00065358
                     43,                0.97239,                 1.3358,                0.88549,                0.92375,                0.60995,                0.54444,                0.50552,                0.26057,                0.57693,                0.51111,                0.44853,                 0.1798,                 1.8201,                 4.9927,                 1.5978,                 1.2853,             0.00066536,             0.00066536,             0.00066536
                     44,                0.94709,                 1.3909,                0.90243,                 0.9098,                0.60995,                0.54444,                0.50552,                0.26057,                0.57693,                0.51111,                0.44853,                 0.1798,                 1.8201,                 4.9927,                 1.5978,                 1.2853,             0.00067695,             0.00067695,             0.00067695
                     45,                0.97396,                 1.6183,                0.93241,                 1.0855,                0.70629,                0.61456,                0.67041,                0.31561,                0.59764,                0.48889,                0.47929,                 0.2048,                 1.8707,                 4.8979,                 1.5628,                 1.3062,             0.00068834,             0.00068834,             0.00068834
                     46,                0.95226,                 1.5837,                0.91835,                0.97443,                0.70629,                0.61456,                0.67041,                0.31561,                0.59764,                0.48889,                0.47929,                 0.2048,                 1.8707,                 4.8979,                 1.5628,                 1.3062,             0.00069953,             0.00069953,             0.00069953
                     47,                0.90577,                 1.4086,                 0.8531,                 0.9249,                0.56199,                0.37778,                0.37711,                 0.1989,                0.45717,                0.36667,                 0.3453,                0.13918,                 1.9184,                 5.5304,                   1.77,                 1.3766,             0.00071052,             0.00071052,             0.00071052
                     48,                0.96975,                 1.5901,                0.99361,                0.97139,                0.56199,                0.37778,                0.37711,                 0.1989,                0.45717,                0.36667,                 0.3453,                0.13918,                 1.9184,                 5.5304,                   1.77,                 1.3766,             0.00072131,             0.00072131,             0.00072131
                     49,                 1.0069,                 1.3292,                 1.0233,                0.94899,                0.26559,                0.38889,                0.16883,                0.10501,                0.27674,                0.37778,                0.16616,                0.08012,                 1.7724,                 5.9438,                 3.2941,                 1.4298,              0.0007319,              0.0007319,              0.0007319
                     50,                 1.1123,                 1.3766,                  1.091,                 1.0481,                0.26559,                0.38889,                0.16883,                0.10501,                0.27674,                0.37778,                0.16616,                0.08012,                 1.7724,                 5.9438,                 3.2941,                 1.4298,              0.0007423,              0.0007423,              0.0007423
                     51,                 1.0629,                 1.5553,                 1.0316,                0.97626,                0.23626,                0.28873,                0.11919,                0.07697,                0.23626,                0.28873,                 0.1227,                0.06656,                  2.016,                 7.3063,                 3.7456,                 1.5997,              0.0007525,              0.0007525,              0.0007525
                     52,                0.98066,                 1.1318,                0.89708,                 1.0012,                0.23626,                0.28873,                0.11919,                0.07697,                0.23626,                0.28873,                 0.1227,                0.06656,                  2.016,                 7.3063,                 3.7456,                 1.5997,              0.0007625,              0.0007625,              0.0007625
                     53,                0.98438,                 1.2628,                0.90845,                0.94954,                0.23626,                0.28873,                0.11919,                0.07697,                0.23626,                0.28873,                 0.1227,                0.06656,                  2.016,                 7.3063,                 3.7456,                 1.5997,              0.0007723,              0.0007723,              0.0007723
                     54,                 1.0492,                 1.3373,                0.99503,                0.99072,                0.32077,                0.22222,                0.20556,                0.11339,                0.32483,                0.20318,                0.20166,                0.10481,                   2.42,                 16.531,                  4.451,                 1.8596,             0.00078191,             0.00078191,             0.00078191
                     55,                0.96383,                 1.6948,                0.99249,                0.94716,                0.32077,                0.22222,                0.20556,                0.11339,                0.32483,                0.20318,                0.20166,                0.10481,                   2.42,                 16.531,                  4.451,                 1.8596,             0.00079132,             0.00079132,             0.00079132
